ICSD,kappa_exp,composition,kappa_latt_comp
71689.0,0.2,Ag9 Tl1 Te5,
171222.0,0.377,Tl2 Cu2 Sn1 Te4,
400246.0,0.48100000000000004,Tl9 Bi1 Te6,
52403.0,0.76,Zn4 Sb3,
171214.0,0.7829999999999999,Tl1 Ti1 P1 S5,
90177.0,0.81,Sr0.145 Ga0.302 Ge0.553,
85638.0,0.84,Yb14 Mn1 Sb11,
68423.0,0.956,Ag1 Cr1 Se2,
68423.0,,Ag1 Cr1 Se2,14.44
41140.0,0.97,Cu2 Se1,
90177.0,1.06,Sr0.146 Ga0.285 Ge0.569,
85652.0,1.1,Sm1.7 Ca0.3 Mn1 O3,
90177.0,1.216,Sr0.147 Ga0.298 Ge0.555,
642048.0,1.24,La2.74 Te4,
41140.0,1.25,Cu1.98 Se1,
84268.0,1.2851700000000001,K2 Bi8 Se13,
79200.0,1.3,K1 Bi6.33 S10,
602374.0,1.3479,Cu4 Mo6 S8,
96163.0,1.37,Ce1 Fe3 Co1 Sb12,
249898.0,1.4323,Mn1.3 Mo6 S8,
36363.0,,Ca3 Al1 Sb3,1.59
36363.0,1.45,Ca3 Al1 Sb3,
183853.0,1.45,Ca4.75 Na0.25 Al2 Sb6,
74348.0,1.468195804,Bi2 Te3,
642048.0,1.47,La3 Te3.35 Sb0.65,
69824.0,1.48358962,Ca0.9 Tb0.1 Mn1 O3,
632653.0,1.4885,Fe1.3 Mo6 S8,
160308.0,1.488878233,Ca0.9 Y0.1 Mn1 O3,
183853.0,1.49,Ca4.95 Na0.05 Al2 Sb6,
35218.0,1.4902799999999998,Ca1 Yb0.05 Mn0.95 O3,
2084.0,1.49875,Ag0.15 Sb0.15 Te1.15 Ge0.85,
170576.0,1.5,Sb0.005 I0.015 Cs0.995 Bi3.98 Te5.97,
94298.0,1.5,Ba8 Ga18 Ge28,
94298.0,1.52,Ba8 Ga16 Ge30,
183853.0,,Ca5 Al2 Sb6,1.42
183853.0,1.54,Ca5 Al2 Sb6,
96163.0,1.55,Ce1 Fe4 Sb12,
36363.0,1.59,Ca2.85 Na0.15 Al1 Sb3,
280118.0,1.6,La1 Fe3 Co1 Sb12,
160306.0,1.637290898,Ca0.9 Ho0.1 Mn1 O3,
164755.0,1.64488,Ca1 Yb0.15 Mn0.85 O3,
36363.0,1.65,Ca2.94 Na0.06 Al1 Sb3,
96013.0,1.6669999999999998,Sr0.61 Ba0.39 Nb2 O6,
36363.0,1.67,Ca2.97 Na0.03 Al1 Sb3,
602930.0,1.7135,Ni2 Mo6 S8,
164755.0,1.72527,Ca1 Yb0.1 Mn0.9 O3,
40567.0,1.77,Ba8 Au5.59 Si39.01,
165698.0,1.78652,Ca1 Gd0.96 Mn0.04 O3,
97601.0,1.793253904,Ca0.7 Y0.3 Mn1 O3,
247225.0,1.8,La0.98 Sr0.02 Co1 O3,
247230.0,1.8,La0.95 Sr0.05 Co1 O3,
187.0,1.8,Sr1.6 La0.4 Nb2 O7,
247225.0,1.807,La0.99 Sr0.01 Co1 O3,
40567.0,1.86,Ba8 Au5.14 Si39.51,
247225.0,1.87927,La1 Co1 O3,
85652.0,1.9,Sm0.5 Ca0.5 Mn1 O3,
21001.0,1.9040000000000001,Na1 Co2 O4,
40697.0,1.9384,Cr1.3 Mo6 S8,
63099.0,1.9421,Tl0.01 Pb0.99 Te1,
642048.0,1.9669999999999999,La3 Te3.35 Bi0.65,
160556.0,2.0,Ca3 Co4 O9,
